股票代码,股票简称,截止日期,行业代码,上市日期,所属省份,上市状态,wufei,zhaochenyv,yuanchun,lishouxi,固定资产数字化,无形资产数字化,数字技术应用z,互联网商业模式z,智能制造z,现代信息系统z,csmar
000055,方大集团,2019,33.0,1995-11-29,广东省,正常上市,2.1972245773362196,1.4438861464503094,2.7916666666666665,0.8154546019339024,0.0,0.001005694280701917,5.0,0.0,8.0,1.0,38.0242
000055,方大集团,2020,33.0,1995-11-29,广东省,正常上市,1.9459101490553132,2.363178263607737,2.8484618306114697,0.524156955795744,0.0,0.000956689360161208,6.0,0.0,15.0,3.0,39.8946
000055,方大集团,2021,33.0,1995-11-29,广东省,正常上市,1.3862943611198906,4.217176040434318,3.5592060232717317,0.35189849429576225,0.0,0.0009647499473240842,8.0,2.0,21.0,10.0,37.2766
000055,方大集团,2022,33.0,1995-11-29,广东省,正常上市,2.5649493574615367,4.616667542448883,4.448275862068965,1.0358709620555713,0.0,0.0009201004065042663,14.0,2.0,21.0,6.0,39.2066
000055,方大集团,2023,33.0,1995-11-29,广东省,正常上市,2.302585092994046,5.926214136245431,5.698358624961288,0.8153922949302586,0.0,0.0007581101154123248,16.0,0.0,38.0,6.0,38.2851
000059,华锦股份,2014,25.0,1997-01-30,辽宁省,正常上市,0.0,0.16326539010143487,0.37151702786377705,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.4221
000059,*ST 华锦,2015,25.0,1997-01-30,辽宁省,正常上市,0.0,0.24503972979581495,0.5003126954346466,-9.155667661108896e-07,0.0,0.00018885952488352774,0.0,0.0,3.0,0.0,25.6967
000059,华锦股份,2016,25.0,1997-01-30,辽宁省,正常上市,0.6931471805599453,0.7839419498258167,0.878972278566599,0.11223002171637554,0.0,0.0,0.0,2.0,4.0,1.0,23.312
000059,华锦股份,2017,25.0,1997-01-30,辽宁省,正常上市,0.6931471805599453,0.7953861806041989,1.1194029850746268,0.11222821937340502,0.0,0.00037178024551499326,0.0,1.0,5.0,2.0,30.2723
000059,华锦股份,2018,25.0,1997-01-30,辽宁省,正常上市,0.6931471805599453,0.4211315372701893,0.9322033898305085,0.11222825087008786,0.0,0.0003652832331966526,0.0,1.0,3.0,0.0,25.8536
000059,华锦股份,2019,25.0,1997-01-30,辽宁省,正常上市,0.0,0.9298736803283832,1.7712177121771218,-2.2040350475398477e-06,0.0,0.0004546397131398326,2.0,1.0,2.0,3.0,25.7066
000059,华锦股份,2020,25.0,1997-01-30,辽宁省,正常上市,0.0,0.33985110243337435,0.8533747090768037,-4.047796100479681e-06,0.0,0.0008349635183999241,0.0,1.0,2.0,0.0,27.432
000059,华锦股份,2021,25.0,1997-01-30,辽宁省,正常上市,0.0,0.7301441337982801,1.7113519680547633,-2.7821492481958124e-06,0.0,0.0005738908451223605,2.0,0.0,3.0,2.0,31.3655
000059,华锦股份,2022,25.0,1997-01-30,辽宁省,正常上市,0.0,0.5957372738303679,1.5242242787152966,-2.901698772421052e-06,0.0,0.0005985510525271539,0.0,0.0,6.0,1.0,27.7771
000059,华锦股份,2023,25.0,1997-01-30,辽宁省,正常上市,0.6931471805599453,0.9403118210900697,1.8181818181818181,0.11222533601522956,0.0,0.0009665480715671613,2.0,1.0,6.0,0.0,31.1456
000060,中金岭南,2014,32.0,1997-01-23,广东省,正常上市,0.0,0.00018147652756324978,0.44272274488101826,-1.1730332554038965e-06,0.0,0.00024196870341766636,0.0,0.0,0.0,0.0,25.1031
000060,中金岭南,2015,32.0,1997-01-23,广东省,正常上市,0.0,0.00019996861829362888,0.6202290076335878,-1.2925629691357213e-06,0.0,0.0002666248243915052,0.0,0.0,0.0,0.0,28.3502
000060,中金岭南,2016,32.0,1997-01-23,广东省,正常上市,0.0,0.0002882082567922025,0.5851375073142189,-1.8629289100840308e-06,0.0,0.0003842776757229366,0.0,0.0,0.0,0.0,25.1324
000060,中金岭南,2017,32.0,1997-01-23,广东省,正常上市,0.0,0.00022662215902345158,0.5811138014527845,-1.4648469006730787e-06,0.0,0.00030216287869793546,0.0,0.0,0.0,0.0,24.2782
000060,中金岭南,2018,32.0,1997-01-23,广东省,正常上市,0.0,0.2689223318663,1.035732780942517,-1.064925718212262e-06,0.0,0.00021966870426297054,0.0,0.0,2.0,1.0,28.1985
000060,中金岭南,2019,32.0,1997-01-23,广东省,正常上市,1.0986122886681098,0.948413131908767,1.4675052410901468,0.27011818219546574,0.0,0.00020146156551474097,3.0,0.0,4.0,2.0,32.7507
000060,中金岭南,2020,32.0,1997-01-23,广东省,正常上市,1.0986122886681098,0.7612711685632408,0.9976057462090981,0.2701182925851145,0.0,0.00017869082132699287,3.0,0.0,3.0,1.0,31.5226
000060,中金岭南,2021,32.0,1997-01-23,广东省,正常上市,0.6931471805599453,0.8115806317918474,0.9195402298850575,0.13030695219855382,0.0,0.00031229476892206617,2.0,0.0,4.0,2.0,34.814
000060,中金岭南,2022,32.0,1997-01-23,广东省,正常上市,0.0,0.08178598790856084,0.753880266075388,-9.908588316114282e-07,0.0,0.00020439047712454534,0.0,0.0,1.0,0.0,27.4878
000060,中金岭南,2023,32.0,1997-01-23,广东省,正常上市,1.791759469228055,1.1560752484002137,1.4332965821389196,0.4147941289939124,0.0,0.0005737175861815323,4.0,1.0,4.0,1.0,33.3459
000153,丰原药业,2014,27.0,2000-09-20,安徽省,正常上市,0.0,0.0,0.4294478527607362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.113
000153,丰原药业,2015,27.0,2000-09-20,安徽省,正常上市,0.0,0.08206549682298785,0.5498281786941581,-2.797556679576607e-06,0.0,0.000577069029693883,0.0,0.0,1.0,0.0,28.3372
000153,丰原药业,2016,27.0,2000-09-20,安徽省,正常上市,0.0,0.10600736682721333,0.6500541711809318,-3.3300134250406256e-06,0.0,0.0006869021207272295,0.0,0.0,0.0,1.0,25.3402
000153,丰原药业,2017,27.0,2000-09-20,安徽省,正常上市,0.0,0.0005058861819477764,0.5927682276229994,-3.269961811822875e-06,0.0,0.0006745149092637018,0.0,0.0,0.0,0.0,24.7951
000153,丰原药业,2018,27.0,2000-09-20,安徽省,正常上市,0.0,0.0003959462130780655,0.8166295471417966,-2.5593286444712865e-06,0.0,0.0005279282841040874,0.0,0.0,0.0,0.0,26.8694
000153,丰原药业,2019,27.0,2000-09-20,安徽省,正常上市,0.0,0.0003098471034940423,0.6880733944954129,-2.0027987165580297e-06,0.0,0.0004131294713253897,0.0,0.0,0.0,0.0,25.0097
000153,丰原药业,2020,27.0,2000-09-20,安徽省,正常上市,0.0,0.00025810698132960083,0.5847953216374269,-1.6683594105359498e-06,0.0,0.0003441426417728011,0.0,0.0,0.0,0.0,25.1639
000153,丰原药业,2021,27.0,2000-09-20,安徽省,正常上市,0.6931471805599453,0.374439235242675,1.0822510822510822,0.11222879704914634,0.0,0.0002526195572056884,0.0,0.0,2.0,2.0,29.3206
000153,丰原药业,2022,27.0,2000-09-20,安徽省,正常上市,0.0,0.10578589832662615,0.6467661691542288,-1.8984788916136388e-06,0.0,0.0003916107866109817,0.0,0.0,0.0,1.0,23.8506
000153,丰原药业,2023,27.0,2000-09-20,安徽省,正常上市,0.0,0.0005896066393750163,0.439453125,-3.811116538764355e-06,0.0,0.000786142185833355,0.0,0.0,0.0,0.0,23.6782
000157,中联重科,2014,35.0,2000-10-12,湖南省,正常上市,1.0986122886681098,1.5247645707905007,1.363159734358616,0.22159470511627297,0.0,0.0,5.0,0.0,9.0,1.0,39.6107
000157,中联重科,2015,35.0,2000-10-12,湖南省,正常上市,2.4849066497880004,2.311289920421155,4.040873200185787,0.8212748053143224,0.0,0.0,8.0,2.0,8.0,2.0,48.7294
000157,中联重科,2016,35.0,2000-10-12,湖南省,正常上市,2.1972245773362196,2.408106984959587,4.933333333333334,0.7090447835979469,0.0,0.0,7.0,3.0,10.0,1.0,47.1696
000157,中联重科,2017,35.0,2000-10-12,湖南省,正常上市,2.3978952727983707,4.425157995950401,7.082833133253301,0.8066483174030987,0.0,0.0,11.0,3.0,28.0,1.0,43.6139
000157,中联重科,2018,35.0,2000-10-12,湖南省,正常上市,2.772588722239781,5.452943335120991,9.054441260744985,1.065008207448185,0.0,0.0,8.0,7.0,37.0,1.0,53.3445
000157,中联重科,2019,35.0,2000-10-12,湖南省,正常上市,2.6390573296152584,5.862728644280866,7.871569135163129,0.7321757227703787,0.0,0.0,12.0,9.0,31.0,1.0,55.0422
000157,中联重科,2020,35.0,2000-10-12,湖南省,正常上市,2.9444389791664403,8.883361260589897,10.840606338998622,1.001069992071012,0.0,0.0,27.0,8.0,45.0,1.0,53.9127
000157,中联重科,2021,35.0,2000-10-12,湖南省,正常上市,3.4339872044851463,9.687955677403917,9.139213602550477,1.2462197220180833,0.0,0.0,26.0,5.0,63.0,1.0,56.1551
000157,中联重科,2022,35.0,2000-10-12,湖南省,正常上市,3.367295829986474,14.159284109049588,10.906630581867388,1.6922968692994822,0.0,0.0,47.0,4.0,82.0,0.0,48.2735
000157,中联重科,2023,35.0,2000-10-12,湖南省,正常上市,3.58351893845611,14.74910437209007,10.095149686702252,1.6745394445787969,0.0,0.0,47.0,10.0,79.0,1.0,52.179
